quote,author,category
"Well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. You know, one day you look at the person and you see something more than you did the night before. Like a switch has been flicked somewhere. And the person who was just a friend is... suddenly the only person you can ever imagine yourself with.",Gillian Anderson,"friendship, love, men, relationships, women"
Love is an irresistible desire to be irresistibly desired.,Robert Frost,love
"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.","Santosh Kalwar, Quote Me Everyday","cry, inspirational, joke, love, romance, smile"
"Let there be spaces in your togetherness, And let the winds of the heavens dance between you. Love one another but make not a bond of love: Let it rather be a moving sea between the shores of your souls. Fill each other's cup but drink not from one cup. Give one another of your bread but eat not from the same loaf. Sing and dance together and be joyous, but let each one of you be alone, Even as the strings of a lute are alone though they quiver with the same music. Give your hearts, but not into each other's keeping. For only the hand of Life can contain your hearts. And stand together, yet not too near together: For the pillars of the temple stand apart, And the oak tree and the cypress grow not in each other's shadow.","Kahlil Gibran, The Prophet","love, marriage"
"It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.",Vincent van Gogh,"art, inspiration, love, strength"
"I love you also means I love you more than anyone loves you, or has loved you, or will love you, and also, I love you in a way that no one loves you, or has loved you, or will love you, and also, I love you in a way that I love no one else, and never have loved anyone else, and never will love anyone else.",Jonathan Safran Foer,love
"There was a clatter as the basilisk fangs cascaded out of Hermione's arms. Running at Ron, she flung them around his neck and kissed him full on the mouth. Ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted Hermione off her feet. ""Is this the moment?"" Harry asked weakly, and when nothing happened except that Ron and Hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""OI! There's a war going on here!"" Ron and Hermione broke apart, their arms still around each other. ""I know, mate,"" said Ron, who looked as though he had recently been hit on the back of the head with a Bludger, ""so it's now or never, isn't it?"" ""Never mind that, what about the Horcrux?"" Harry shouted. ""D'you think you could just --- just hold it in, until we've got the diadem?"" ""Yeah --- right --- sorry ---"" said Ron, and he and Hermione set about gathering up fangs, both pink in the face.","J.K. Rowling, Harry Potter and the Deathly Hallows","love, romance, war"
"If I can stop one heart from breaking, I shall not live in vain.",Emily Dickinson,"life, love"
"When the power of love overcomes the love of power, the world will know peace.",Jimi Hendrix,"hippy, love, misattributed, peace, william-gladstone"
"I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts.","Leo Tolstoy, Anna Karenina","care, diversity, heart, individuality, love, mind, seduction, soul"
"It is a curious thought, but it is only when you see people looking ridiculous that you realize just how much you love them. ","Agatha Christie, An Autobiography",love
"The greater the love, the greater the tragedy when it's over.","Nicholas Sparks, Nights in Rodanthe",love
"Hate the sin, love the sinner.",Mahatma Gandhi,"hate, love, religion, sin, sinners"
"Of all forms of caution, caution in love is perhaps the most fatal to true happiness.","Bertrand Russell, The Conquest of Happiness","happiness, love"
"One love, one heart, one destiny.",Bob Marley,"bob-marley, compassion, destiny, heart, humanity, inspirational, love"
"I loved her against reason, against promise, against peace, against hope, against happiness, against all discouragement that could be.","Charles Dickens, Great Expectations",love
"I fell in love with her courage, her sincerity, and her flaming self respect. And it's these things I'd believe in, even if the whole world indulged in wild suspicions that she wasn't all she should be. I love her and it is the beginning of everything.",F. Scott Fitzgerald,love
"If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?","Jodi Picoult, Nineteen Minutes","death, heart, love"
"It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.","Stephenie Meyer, The Host","inspirational, love"
"Well, nowIf little by little you stop loving meI shall stop loving youLittle by littleIf suddenly you forget meDo not look for meFor I shall already have forgotten youIf you think it long and mad the wind of banners that passes through my lifeAnd you decide to leave me at the shore of the heart where I have rootsRememberThat on that day, at that hour, I shall lift my armsAnd my roots will set off to seek another land","Pablo Neruda, Selected Poems","forgetting, heartbreak, inspirational, living, love, moving-on"
"You know, when it works, love is pretty amazing. It's not overrated. There's a reason for all those songs.","Sarah Dessen, This Lullaby",love
"What Is Love? I have met in the streets a very poor young man who was in love. His hat was old, his coat worn, the water passed through his shoes and the stars through his soul","Victor Hugo, Les Misérables","love, soul, stars"
All I ever wanted was to reach out and touch another human being not just with my hands but with my heart.,"Tahereh Mafi, Shatter Me","compassion, empathy, loneliness, love"
"To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.",Taylor Swift,"fearless, inspirational, love"
I love you like a fat kid loves cake!,Scott Adams,"food, humor, love"
"If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.","Bob Marley, Guitar Chord Songbook - Bob Marley","inspirational, love"
"It isn't possible to love and part. You will wish that it was. You can transmute love, ignore it, muddle it, but you can never pull it out of you. I know by experience that the poets are right: love is eternal.","E.M. Forster, A Room with a View","love, poets, romance"
"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",C. JoyBell C.,"growing, humanity, inspirational, inspirational-life, inspirational-love, inspirational-quotes, learning, life-and-living, life-lessons, love, people, real-love, reality, reality-of-life, those-who-love-us, to-be-loved, true-love, what-matters"
Gravitation is not responsible for people falling in love.,Albert Einstein,love
"We waste time looking for the perfect lover, instead of creating the perfect love.",Tom Robbins,"love, sex"
"They say when you are missing someone that they are probably feeling the same, but I don't think it's possible for you to miss me as much as I'm missing you right now",Edna St. Vincent Millay,"longing, love, missing, sadness"
"And when her lips met mine, I knew that I could live to be a hundred and visit every country in the world, but nothing would ever compare to that single moment when I first kissed the girl of my dreams and knew that my love would last forever.","Nicholas Sparks, Dear John","bestseller, love, nicholas-sparks, north-carolina, novel"
Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.,"Clive Barker, Days of Magic, Nights of War","art, inspirational, love, redemption, sadness"
"Welcome to the wonderful world of jealousy, he thought. For the price of admission, you get a splitting headache, a nearly irresistable urge to commit murder, and an inferiority complex. Yippee.","J.R. Ward, Dark Lover","humor, jealousy, love"
"You couldn't relive your life, skipping the awful parts, without losing what made it worthwhile. You had to accept it as a whole--like the world, or the person you loved.","Stewart O'Nan, The Odds: A Love Story","acceptance, life, love, worth"
What is hell? I maintain that it is the suffering of being unable to love.,"Fyodor Dostoyevsky, The Brothers Karamazov","hell, love, suffering"
Never close your lips to those whom you have already opened your heart.,Charles Dickens,"kissing, love, romance"
"Love is not affectionate feeling, but a steady wish for the loved person's ultimate good as far as it can be obtained.",C.S. Lewis,love
"The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.","Ernest Hemingway, Men Without Women","love, pain, relationships, self"
"Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile.","Nicholas Sparks, The Last Song","life, love, music, simile, song"
Find what you love and let it kill you.,Charles Bukowski,love
"It’s probably not just by chance that I’m alone. It would be very hard for a man to live with me, unless he’s terribly strong. And if he’s stronger than I, I’m the one who can’t live with him. … I’m neither smart nor stupid, but I don’t think I’m a run-of-the-mill person. I’ve been in business without being a businesswoman, I’ve loved without being a woman made only for love. The two men I’ve loved, I think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. I’ve done my best, in regard to people and to life, without precepts, but with a taste for justice.",Coco Chanel,"autonomy, bachelorhood, empowerment, freedom, independence, individuality, love, marriage, matrimony, men, self-determination, self-sufficiency, singles, strength, women"
"Love is a temporary madness, it erupts like volcanoes and then subsides. And when it subsides, you have to make a decision. You have to work out whether your roots have so entwined together that it is inconceivable that you should ever part. Because this is what love is. Love is not breathlessness, it is not excitement, it is not the promulgation of promises of eternal passion, it is not the desire to mate every second minute of the day, it is not lying awake at night imagining that he is kissing every cranny of your body. No, don't blush, I am telling you some truths. That is just being ""in love"", which any fool can do. Love itself is what is left over when being in love has burned away, and this is both an art and a fortunate accident.","Louis de Bernières, Captain Corelli's Mandolin",love
"Love is an untamed force. When we try to control it, it destroys us. When we try to imprison it, it enslaves us. When we try to understand it, it leaves us feeling lost and confused.",Paulo Coelho,love
The man of knowledge must be able not only to love his enemies but also to hate his friends.,Friedrich Nietzsche,"enemies, friends, friendship, hatred, intelligence, knowledge, love, wisdom"
Look after my heart - I've left it with you.,"Stephenie Meyer, Eclipse","bella, edward, love, twilight-saga"
"Things we lose have a way of coming back to us in the end, if not always in the way we expect.","J.K. Rowling, Harry Potter and the Order of the Phoenix","death, love"
"One cannot think well, love well, sleep well, if one has not dined well.","Virginia Woolf, A Room of One's Own","food, love"
I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.,Margaret Atwood,"love, obsession, sleep"
And then he gives me a smile that just seems so genuinely sweet with just the right touch of shyness that unexpected warmth rushes through me.,"Suzanne Collins, The Hunger Games","hunger-games, katniss-everdeen, love, peeta-mellark, smile, suzanne-collins"
"He does something to me, that boy. Every time. It’s his only detriment. He steps on my heart. He makes me cry.","Markus Zusak, The Book Thief","heartbreak, love, sad"
I want to do with you what spring does with the cherry trees.,"Pablo Neruda, Twenty Love Poems and a Song of Despair",love
Have enough courage to trust love one more time and always one more time.,Maya Angelou,"courage, love, trust"
You can't measure the mutual affection of two human beings by the number of words they exchange.,Milan Kundera,love
"Before you, Bella, my life was like a moonless night. Very dark, but there were stars, points of light and reason. ...And then you shot across my sky like a meteor. Suddenly everything was on fire; there was brilliancy, there was beauty. When you were gone, when the meteor had fallen over the horizon, everything went black. Nothing had changed, but my eyes were blinded by the light. I couldn’t see the stars anymore. And there was no more reason, for anything.","Stephenie Meyer, New Moon","edward, light, love, reason"
Sometimes it's a form of love just to talk to somebody that you have nothing in common with and still be fascinated by their presence.,David Byrne,love
"How do you spell 'love'?"" - Piglet""You don't spell it...you feel it."" - Pooh",A.A. Milne,"love, piglet, pooh-bear, winnie-the-pooh"
"Tonight I can write the saddest linesI loved her, and sometimes she loved me too.","Pablo Neruda, Twenty Love Poems and a Song of Despair","love, sadness"
"I crave your mouth, your voice, your hair.Silent and starving, I prowl through the streets. Bread does not nourish me, dawn disrupts me, all day I hunt for the liquid measure of your steps. I hunger for your sleek laugh, your hands the color of a savage harvest, hunger for the pale stones of your fingernails, I want to eat your skin like a whole almond. I want to eat the sunbeam flaring in your lovely body, the sovereign nose of your arrogant face, I want to eat the fleeting shade of your lashes, and I pace around hungry, sniffing the twilight, hunting for you, for your hot heart, Like a puma in the barrens of Quitratue.",Pablo Neruda,"love, poetry"
Happiness [is] only real when shared,"Jon Krakauer, Into the Wild","family, happiness, inspirational, love, marriage"
"A DEFINITION NOT FOUND IN THE DICTIONARY Not leaving: an act of trust and love,often deciphered by children","Markus Zusak, The Book Thief","children, love"
"One day you will kiss a man you can't breathe without, and find that breath is of little consequence.","Karen Marie Moning, Bloodfever","kiss, love"
"Maybe...you'll fall in love with me all over again.""""Hell,"" I said, ""I love you enough now. What do you want to do? Ruin me?""""Yes. I want to ruin you.""""Good,"" I said. ""That's what I want too.","Ernest Hemingway, A Farewell to Arms","infatuation, love"
"Was it hard?"" I ask.Letting go?""Not as hard as holding on to something that wasn't real.",Lisa Schroeder,"heartbreak, life, love"
"I'm saying that I'm a moody, insecure, narrow-minded, jealous, borderline homicidal bitch, and I want you to promise me that you're okay with that, because it's who I am, and you're what I need.","Jeaniene Frost, Halfway to the Grave","humor, love"
Then I realize what it is. It's him. Something about him makes me feel like I am about to fall. Or turn to liquid. Or burst into flames.,"Veronica Roth, Divergent",love
Art and love are the same thing: It’s the process of seeing yourself in things that are not you.,"Chuck Klosterman, Killing Yourself to Live: 85% of a True Story","art, love, profound"
Letting go doesn't mean that you don't care about someone anymore. It's just realizing that the only person you really have control over is yourself.,"Deborah Reber, Chicken Soup for the Teenage Soul: 101 Stories of Life, Love and Learning","acceptance, letting-go, love, moving-on"
As if you were on fire from within.The moon lives in the lining of your skin.,Pablo Neruda,"beauty, inner-beauty, love, passion"
"The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them","Thomas Merton, No Man Is an Island","friendship, love, self-discovery, trust, truth"
"Promise me you'll never forget me because if I thought you would, I'd never leave.",A.A. Milne,"goodbyes, love"
"Anyone who falls in love is searching for the missing pieces of themselves. So anyone who's in love gets sad when they think of their lover. It's like stepping back inside a room you have fond memories of, one you haven't seen in a long time.",Haruki Murakami,love
"I could not tell you if I loved you the first moment I saw you, or if it was the second or third or fourth. But I remember the first moment I looked at you walking toward me and realized that somehow the rest of the world seemed to vanish when I was with you.","Cassandra Clare, Clockwork Prince","devotion, love, love-at-first-sight, true-love"
"I wasn't actually in love, but I felt a sort of tender curiosity.","F. Scott Fitzgerald, The Great Gatsby","affection, amity, love"
"When I am with you, we stay up all night.When you're not here, I can't go to sleep.Praise God for those two insomnias!And the difference between them.",Jalaluddin Rumi,love
"I loved you like a man loves a woman he never touches, only writes to, keeps little photographs of.","Charles Bukowski, Love Is a Dog from Hell",love
"You yourself, as much as anybody in the entire universe, deserve your love and affection",Sharon Salzberg,"inspiration, life, love, self-acceptance, self-esteem, wisdom"
Tears shed for another person are not a sign of weakness. They are a sign of a pure heart.,"José N. Harris, MI VIDA: A Story of Faith, Hope and Love","grief, grieving, hope, loss, love, pain, sadness, strength, tears"
"The saddest people I've ever met in life are the ones who don't care deeply about anything at all. Passion and satisfaction go hand in hand, and without them, any happiness is only temporary, because there's nothing to make it last.","Nicholas Sparks, Dear John","life, love, passion"
"She leaned down and looked at his lifeless face and Leisel kissed her best friend, Rudy Steiner, soft and true on his lips. He tasted dusty and sweet. He tasted like regret in the shadows of trees and in the glow of the anarchist's suit collection. She kissed him long and soft, and when she pulled herself away, she touched his mouth with her fingers...She did not say goodbye. She was incapable, and after a few more minutes at his side, she was able to tear herself from the ground. It amazes me what humans can do, even when streams are flowing down their faces and they stagger on...","Markus Zusak, The Book Thief","love, the-book-thief"
"If conversation was the lyrics, laughter was the music, making time spent together a melody that could be replayed over and over without getting stale.",Nicholas Sparks,"love, nicholas-sparks, relationships, the-choice"
"You could have fooled me. Everytime I called you, Luke said you were sick. I figured you were avoiding me. Again.""""I wasn't. I did want to talk to you. I've been thinking about you all the time.""""I've been thinking about you, too.""""I really was sick. I swear. I almost died back there on the ship, you know.""""I know. Everytime you almost die, I almost die myself.","Cassandra Clare, City of Ashes","die, love, romance"
"We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness.","Hunter S. Thompson, The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967","alone, birth, death, growing-up, growth, life, lonely, love, self-respect"
It is the time you have wasted for your rose that makes your rose so important.,"Antoine de Saint-Exupéry, The Little Prince","caring, inspirational, love, roses, time"
"I fell in love with him. But I don't just stay with him by default as if there's no one else available to me. I stay with him because I choose to, every day that I wake up, every day that we fight or lie to each other or disappoint each other. I choose him over and over again, and he chooses me.","Veronica Roth, Allegiant","agency, choices, love"
"In time, the hurt began to fade and it was easier to just let it go. At least I thought it was. But in every boy I met in the next few years, I found myself looking for you, and when the feelings got too strong, I'd write you another letter. But I never sent them for fear of what I might find. By then, you'd gone on with your life and I didn't want to think about you loving someone else. I wanted to remember us like we were that summer. I didn't ever want to lose that.","Nicholas Sparks, The Notebook",love
There is only one page left to write on. I will fill it with words of only one syllable. I love. I have loved. I will love.,"Audrey Niffenegger, The Time Traveler's Wife",love
Happiness is holding someone in your arms and knowing you hold the whole world.,"Orhan Pamuk, Snow","happiness, love"
"Sometimes when I look at you, I feel I'm gazing at a distant star. It's dazzling, but the light is from tens of thousands of years ago.Maybe the star doesn't even exist any more. Yet sometimes that light seems more real to me than anything.","Haruki Murakami, South of the Border, West of the Sun","longing, love"
A half-read book is a half-finished love affair.,"David Mitchell, Cloud Atlas","books, love, reading"
To love oneself is the beginning of a lifelong romance.,"Oscar Wilde, An Ideal Husband",love
I like flaws. I think they make things interesting.,"Sarah Dessen, The Truth About Forever","life, love"
"Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift.",Mary Oliver,"box, darkness, gift, love"
I'm oxygen and he's dying to breathe.,"Tahereh Mafi, Shatter Me","beautiful, couples, kiss, love, metaphor, need, ya"
"Who, being loved, is poor?",Oscar Wilde,love
"Lost love is still love. It takes a different form, that's all. You can't see their smile or bring them food or tousle their hair or move them around a dance floor. But when those senses weaken another heightens. Memory. Memory becomes your partner. You nurture it. You hold it. You dance with it.",Mitch Albom,love
"I read once that the ancient Egyptians had fifty words for sand & the Eskimos had a hundred words for snow. I wish I had a thousand words for love, but all that comes to mind is the way you move against me while you sleep & there are no words for that.","Brian Andreas, Story People: Selected Stories & Drawings of Brian Andreas","inspiration, love, story-people"
"Every one of us is, in the cosmic perspective, precious. If a human disagrees with you, let him live. In a hundred billion galaxies, you will not find another.","Carl Sagan, Cosmos","humanity, individuality, love, mercy"
"I'm not sentimental--I'm as romantic as you are. The idea, you know,is that the sentimental person thinks things will last--the romanticperson has a desperate confidence that they won't.","F. Scott Fitzgerald, This Side of Paradise","love, romance, romantic, sentimentality"
I'm on Aslan's side even if there isn't any Aslan to lead it. I'm going to live as like a Narnian as I can even if there isn't any Narnia.,"C.S. Lewis, The Silver Chair","hell, love, safe"
"Peeta, how come I never know when you're having a nightmare?” I say.“I don't know. I don't think I cry out or thrash around or anything. I just come to, paralyzed with terror,” he says.“You should wake me,” I say, thinking about how I can interrupt his sleep two or three times on a bad night. About how long it can take to calm me down.“It's not necessary. My nightmares are usually about losing you,” he says. “I'm okay once I realize you're here.","Suzanne Collins, Catching Fire","catching-fire, katniss-and-peeta, katniss-everdeen, love, peeta-mellark, romance, the-hunger-games"
"A purpose of human life, no matter who is controlling it, is to love whoever is around to be loved.","Kurt Vonnegut Jr., The Sirens of Titan","life, love"
It is easy to love people in memory the hard thing is to love them when they are there in front of you. ,"John Updike, My Father's Tears and Other Stories",love
"The reason it hurts so much to separate is because our souls are connected. Maybe they always have been and will be. Maybe we've lived a thousand lives before this one and in each of them we've found each other. And maybe each time, we've been forced apart for the same reasons. That means that this goodbye is both a goodbye for the past ten thousand years and a prelude to what will come.","Nicholas Sparks, The Notebook","goodbye, inspiration, love"
"Love can change a person the way a parent can change a baby- awkwardly, and often with a great deal of mess.","Lemony Snicket, Horseradish","babies, change, humor, love, parents"
"When I saw you I fell in love, and you smiled because you knew.",Arrigo Boito,love
"You know how they say you only hurt the ones you love? Well, it works both ways.","Chuck Palahniuk, Fight Club",love
"Be with me always - take any form - drive me mad! only do not leave me in this abyss, where I cannot find you! Oh, God! it is unutterable! I can not live without my life! I can not live without my soul!","Emily Brontë, Wuthering Heights",love
"I fell in love with her when we were together, then fell deeper in love with her in the years we were apart.","Nicholas Sparks, Dear John","love, separation"
What she had realized was that love was that moment when your heart was about to burst.,"Stieg Larsson, The Girl with the Dragon Tattoo","adoration, infatuation, love"
"I know we're fucked up, alright? I'm impulsive, and hot tempered, and you get under my skin like no one else. You act like you hate me one minute, and then need me the next. I never get anything right, and I don't deserve you...but I fucking love you, Abby. I love you more than I loved anyone or anything ever. When you're around, I don't need booze, or money, or the fighting, or the one-night stands...","Jamie McGuire, Beautiful Disaster",love
"Sorrow is how we learn to love. Your heart isn't breaking. It hurts because it's getting larger. The larger it gets, the more love it holds.","Rita Mae Brown, Riding Shotgun",love
"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.",Elie Wiesel,"deep, friendship, life, love, obsession, sharing"
One word frees us of all the weight and pain of life:That word is love.,Sophocles,"love, pain"
"Yes, I was infatuated with you: I am still. No one has ever heightened such a keen capacity of physical sensation in me. I cut you out because I couldn't stand being a passing fancy. Before I give my body, I must give my thoughts, my mind, my dreams. And you weren't having any of those.","Sylvia Plath, The Unabridged Journals of Sylvia Plath","dreams, infatuation, love, sensation, thoughts"
Respect was invented to cover the empty place where love should be.,"Leo Tolstoy, Anna Karenina","love, respect"
"It takes courage to love, but pain through love is the purifying fire which those who love generously know. We all know people who are so much afraid of pain that they shut themselves up like clams in a shell and, giving out nothing, receive nothing and therefore shrink until life is a mere living death.",Eleanor Roosevelt,love
I guess that’s just part of loving people: You have to give things up. Sometimes you even have to give them up.,"Lauren Oliver, Delirium","give, love, sacrifice"
"I will love you always. When this red hair is white, I will still love you. When the smooth softness of youth is replaced by the delicate softness of age, I will still want to touch your skin. When your face is full of the lines of every smile you have ever smiled, of every surprise I have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,I will treasure you all the more, because I was there to see it all. I will share your life with you, Meredith, and I will love you until the last breath leaves your body or mine.","Laurell K. Hamilton, A Lick of Frost","inspirational, love, relationships"
"The more one judges, the less one loves.","Honoré de Balzac, Physiologie Du Mariage","human-nature, love"
The heart has its reasons which reason knows not.,Blaise Pascal,"heart, love, quip, reason"
The emotion that can break your heart is sometimes the very one that heals it...,"Nicholas Sparks, At First Sight","at-first-sight, emotions, healing, heartbreak, love, nicholas, nicholas-sparks, sparks"
Time was passing like a hand waving from a train I wanted to be on. I hope you never have to think about anything as much as I think about you.,Jonathan Safran Foer,"desperate, life, losing, love, nostalgia, pain, regret, solitude"
"Do not fall in love with people like me. I will take you to museums, and parks, and monuments, and kiss you in every beautiful place, so that you can never go back to them without tasting me like blood in your mouth.I will destroy you in the most beautiful way possible. And when I leave you will finally understand, why storms are named after people.","Caitlyn Siehl, Literary Sexts: A Collection of Short & Sexy Love Poems","beautiful, blood, kiss, life, love, mouth, museums, parks"
Sometimes love means letting go when you want to hold on tighter.,"Melissa Marr, Ink Exchange",love
"Holding Eleanor's hand was like holding a butterfly. Or a heartbeat. Like holding something complete, and completely alive.","Rainbow Rowell, Eleanor & Park","friendship, high-school, love, relationships, sweet, teenage-love"
"Trust your heart if the seas catch fire, live by love though the stars walk backward.",E.E. Cummings,"decisions, love, stars, taking-chances"
"The love of learning, the sequestered nooks,And all the sweet serenity of books",Henry Wadsworth Longfellow,"books, learning, love, serenity"
"If someone were to harm my family or a friend or somebody I love, I would eat them. I might end up in jail for 500 years, but I would eat them.",Johnny Depp,"humour, love"
"From childhood's hour I have not been. As others were, I have not seen. As others saw, I could not awaken. My heart to joy at the same tone. And all I loved, I loved alone.",Edgar Allan Poe,"heartache, loss, love"
"Come sleep with me: We won't make Love, Love will make us.",Julio Cortázar,"love, poem, relationships, romance"
"People have forgotten this truth,"" the fox said. ""But you mustn’t forget it. You become responsible forever for what you’ve tamed. You’re responsible for your rose.","Antoine de Saint-Exupéry, The Little Prince","friendship, love, responsibility"
"If you stay, I'll do whatever you want. I'll quit the band, go with you to New York. But if you need me to go away, I'll do that, too. I was talking to Liz and she said maybe coming back to your old life would be too painful, that maybe it'd be easier for you to erase us. And that would suck, but I'd do it. I can lose you like that if I don't lose you today. I'll let you go. If you stay.","Gayle Forman, If I Stay","infatuation, life, love, self-sacrifice"
Nothing takes the taste out of peanut butter quite like unrequited love.,Charles M. Schulz,"humor, love"
"When God Created Mothers""When the Good Lord was creating mothers, He was into His sixth day of ""overtime"" when the angel appeared and said. ""You're doing a lot of fiddling around on this one."" And God said, ""Have you read the specs on this order?"" She has to be completely washable, but not plastic. Have 180 moveable parts...all replaceable. Run on black coffee and leftovers. Have a lap that disappears when she stands up. A kiss that can cure anything from a broken leg to a disappointed love affair. And six pairs of hands."" The angel shook her head slowly and said. ""Six pairs of hands.... no way."" It's not the hands that are causing me problems,"" God remarked, ""it's the three pairs of eyes that mothers have to have."" That's on the standard model?"" asked the angel. God nodded. One pair that sees through closed doors when she asks, 'What are you kids doing in there?' when she already knows. Another here in the back of her head that sees what she shouldn't but what she has to know, and of course the ones here in front that can look at a child when he goofs up and say. 'I understand and I love you' without so much as uttering a word."" God,"" said the angel touching his sleeve gently, ""Get some rest tomorrow...."" I can't,"" said God, ""I'm so close to creating something so close to myself. Already I have one who heals herself when she is sick...can feed a family of six on one pound of hamburger...and can get a nine year old to stand under a shower."" The angel circled the model of a mother very slowly. ""It's too soft,"" she sighed. But tough!"" said God excitedly. ""You can imagine what this mother can do or endure."" Can it think?"" Not only can it think, but it can reason and compromise,"" said the Creator. Finally, the angel bent over and ran her finger across the cheek. There's a leak,"" she pronounced. ""I told You that You were trying to put too much into this model."" It's not a leak,"" said the Lord, ""It's a tear."" What's it for?"" It's for joy, sadness, disappointment, pain, loneliness, and pride."" You are a genius, "" said the angel. Somberly, God said, ""I didn't put it there.","Erma Bombeck, When God Created Mothers","children, family, humor, love, mothers, mothers-day, sadness"
"When someone is in your heart, they're never truly gone. They can come back to you, even at unlikely times.","Mitch Albom, For One More Day",love
Ever has it been that love knows not its own depth until the hour of separation.,Kahlil Gibran,"emotion, heartbreak, lost-love, love, parting"
Don't cry over someone who wouldn't cry over you.,Lauren Conrad,"crying, heartache, love, sadness, tears"
"Absence diminishes small loves and increases great ones, as the wind blows out the candle and fans the bonfire.","François de La Rochefoucauld, Maxims",love
"Stop fighting me!"" he said, trying to pull on the arm he held.He was in a precarious position himself, straddling the rail as he tried to lean over far enough to get me and actually hold onto me.“Let go of me!” I yelled back.But he was too strong and managed to haul most of me over the rail, enough so that I wasn’t in total danger of falling again.See, here’s the thing. In that moment before I let go, I really had been contemplating my death. I’d come to terms with it and accepted it. I also, however, had known Dimitri might do something exactly like this. He was just that fast and that good. That was why I was holding my stake in the hand that was dangling free.I looked him in the eye. ""I will always love you.""Then I plunged the stake into his chest.It wasn’t as precise a blow as I would have liked, not with the skilled way he was dodging. I struggled to get the stake in deep enough to his heart, unsure if I could do it from this angle. Then, his struggles stopped. His eyes stared at me, stunned, and his lips parted, almost into a smile, albeit a grisly and pained one.""That’s what I was supposed to say. . .” he gasped out.Those were his last words.","Richelle Mead, Blood Promise","blood, bridge, death, dhampir, dimitri, love, magic, promise, rose, stake, strigoi"
Being with you never felt wrong. It's the one thing I did right. You're the one thing I did right.,"Becca Fitzpatrick, Crescendo","crescendo, love, patch"
"I wonder how many people don't get the one they want, but end up with the one they're supposed to be with.","Fannie Flagg, Fried Green Tomatoes at the Whistle Stop Cafe","couples, deep, dissapointment, fate, heart, inspirational, love, people, romance"
How do I love thee? Let me count the ways.I love thee to the depth and breadth and heightMy soul can reach,Elizabeth Barrett Browning,"love, sonnet"
"When you trip over love, it is easy to get up. But when you fall in love, it is impossible to stand again.",Albert Einstein,love
"This is where it all begins. Everything starts here, today.","David Nicholls, One Day","hope, love"
"to love life, to love it evenwhen you have no stomach for itand everything you've held dearcrumbles like burnt paper in your hands,your throat filled with the silt of it.When grief sits with you, its tropical heatthickening the air, heavy as watermore fit for gills than lungs;when grief weights you like your own fleshonly more of it, an obesity of grief,you think, How can a body withstand this?Then you hold life like a facebetween your palms, a plain face,no charming smile, no violet eyes,and you say, yes, I will take youI will love you, again.",Ellen Bass,"acceptance, hope, life, love"
"Without you in my arms, I feel an emptiness in my soul. I find myself searching the crowds for your face - I know it's an impossibility, but I cannot help myself.","Nicholas Sparks, Message in a Bottle","grief, love"
"To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous.","Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage","acceptance, being-loved, love, marriage, relationships, truth"
